task_id,delta_without_task,change_from_full
gsm8k/14,0.06839727683400143,0.0026072110439355756
gsm8k/140,0.06630387303436236,0.0005138072442965047
gsm8k/141,0.06758699767035525,0.0017969318802893985
gsm8k/142,0.06618856742926227,0.00039850163919641357
gsm8k/143,0.06639333059997266,0.0006032648099068005
gsm8k/144,0.07055715001594465,0.004767084225878793
gsm8k/145,0.06745959522422829,0.0016695294341624312
gsm8k/146,0.06557585905649388,-0.0002142067335719755
gsm8k/147,0.06684911512497715,0.0010590493349112995
gsm8k/148,0.0646161117625138,-0.0011739540275520488
gsm8k/149,0.06573966220151428,-5.040358855157301e-05
gsm8k/15,0.06806979180902917,0.002279726018963313
gsm8k/150,0.06252112200067594,-0.003268943789389911
gsm8k/151,0.06373836891078266,-0.0020516968792831936
gsm8k/152,0.06536143756987423,-0.00042862822019162916
gsm8k/153,0.06713371025638681,0.001343644466320959
gsm8k/154,0.06593687283342453,0.00014680704335867656
gsm8k/155,0.06572821283768393,-6.185295238192445e-05
gsm8k/156,0.06499020545761014,-0.0007998603324557152
gsm8k/157,0.06594599525634004,0.00015592946627418502
gsm8k/158,0.06643397958534436,0.0006439137952785057
gsm8k/159,0.06651317705299942,0.0007231112629335623
gsm8k/16,0.0698697497704942,0.00407968398042835
gsm8k/160,0.06666666666666665,0.0008766008766007971
gsm8k/161,0.06574530195219841,-4.476383786744531e-05
gsm8k/162,0.06675777868889798,0.0009677128988321293
gsm8k/163,0.06509686435336992,-0.0006932014366959338
gsm8k/164,0.06811550732146265,0.002325441531396799
gsm8k/165,0.06421083284799067,-0.0015792329420751816
gsm8k/166,0.06521600814404782,-0.0005740576460180336
gsm8k/167,0.06956759715380412,0.0037775313637382624
gsm8k/168,0.06665877984857305,0.0008687140585071917
gsm8k/169,0.06813368599969094,0.0023436202096250858
gsm8k/17,0.06504206132458912,-0.000748004465476737
gsm8k/18,0.06406086283085055,-0.0017292029592153035
gsm8k/19,0.06419753086419744,-0.0015925349258684163
gsm8k/2,0.06536174565914343,-0.0004283201309224216
gsm8k/20,0.06607418503329276,0.0002841192432269102
gsm8k/21,0.06901535189376373,0.0032252861036978775
gsm8k/22,0.06604906814210831,0.0002590023520424589
gsm8k/23,0.06544324162190163,-0.0003468241681642281
gsm8k/24,0.06621287128712872,0.0004228054970628614
gsm8k/25,0.06590346534653468,0.00011339955646882949
gsm8k/26,0.0662652800583835,0.00047521426831764746
gsm8k/27,0.06439796762377414,-0.001392098166291711
gsm8k/28,0.0659704232905225,0.00018035750045664045
gsm8k/29,0.06725202010561815,0.001461954315552294
gsm8k/3,0.06513420409202042,-0.0006558616980454346
gsm8k/30,0.06610676337723487,0.00031669758716901253
gsm8k/31,0.06430686529087504,-0.0014832004991908176
gsm8k/32,0.06606131668166415,0.00027125089159829585
gsm8k/33,0.06666788002329638,0.0008778142332305228
gsm8k/34,0.06605816831683164,0.00026810252676578994
gsm8k/35,0.06506148937910727,-0.0007285764109585813
gsm8k/36,0.06571236167734418,-7.77041127216771e-05
gsm8k/37,0.06424741740726869,-0.0015426483827971627
gsm8k/38,0.06562502840418472,-0.00016503738588113936
gsm8k/39,0.06697644754225318,0.0011863817521873266
gsm8k/4,0.0682882047646316,0.0024981389745657445
gsm8k/40,0.06914312754804885,0.003353061757983
gsm8k/41,0.06357992710350036,-0.0022101386865654993
gsm8k/42,0.06488424577751895,-0.0009058200125469096
gsm8k/43,0.06790095265931706,0.002110886869251205
gsm8k/44,0.06644947582993599,0.0006594100398701341
gsm8k/45,0.06519065190651907,-0.0005994138835467844
gsm8k/46,0.06123487761204882,-0.004555188178017033
gsm8k/47,0.06365371792881092,-0.002136347861254939
gsm8k/48,0.0652523655005044,-0.0005377002895614602
gsm8k/49,0.06559405940594054,-0.00019600638412531346
gsm8k/5,0.06651177622887339,0.0007217104388075324
gsm8k/50,0.06619288415106372,0.0004028183609978697
gsm8k/51,0.06657940901117088,0.0007893432211050211
gsm8k/52,0.0645685093960956,-0.0012215563939702578
gsm8k/53,0.055999561575769796,-0.009790504214296059
gsm8k/54,0.06562502840418472,-0.00016503738588113936
gsm8k/55,0.06680438264414679,0.0010143168540809322
gsm8k/56,0.0654341522827876,-0.00035591350727826043
gsm8k/57,0.06682315975996278,0.0010330939698969255
gsm8k/58,0.06539385556202681,-0.00039621022803904005
gsm8k/59,0.0654159736045592,-0.0003740921855066581
gsm8k/6,0.06686711311557558,0.001077047325509728
gsm8k/60,0.06590679791672338,0.00011673212665752608
gsm8k/61,0.06397076868540885,-0.0018192971046570028
gsm8k/62,0.06664961683549042,0.000859551045424567
gsm8k/63,0.06544395020231453,-0.0003461155877513278
gsm8k/64,0.0658284360621384,3.8370272072540956e-05
gsm8k/65,0.06524327616139025,-0.0005467896286756035
gsm8k/66,0.06781467814678144,0.0020246123567155827
gsm8k/67,0.06873745666849107,0.0029473908784252156
gsm8k/68,0.06622197146185205,0.00043190567178619244
gsm8k/69,0.06398894736363725,-0.001801118426428605
gsm8k/7,0.066621054552089,0.0008309887620231438
gsm8k/70,0.06649355382442712,0.000703488034361266
gsm8k/71,0.06590679791672349,0.0001167321266576371
gsm8k/72,0.06699466994669945,0.001204604156633593
gsm8k/73,0.0658823744325604,9.230864249454296e-05
gsm8k/74,0.06635650428753881,0.0005664384974729542
gsm8k/75,0.06515234446268925,-0.0006377213273766058
gsm8k/76,0.06635688579108012,0.0005668200010142677
gsm8k/77,0.06682258299359345,0.0010325172035275942
gsm8k/78,0.06220580186097424,-0.0035842639290916134
gsm8k/79,0.06562135993011065,-0.00016870585995520937
gsm8k/8,0.07036708895444954,0.004577023164383687
gsm8k/80,0.06562135993011065,-0.00016870585995520937
gsm8k/81,0.06504331070087888,-0.000746755089186979
gsm8k/82,0.06779630168899253,0.002006235898926678
gsm8k/83,0.06626747233546881,0.00047740654540295857
gsm8k/84,0.06570683245621212,-8.323333385373832e-05
gsm8k/85,0.06536143756987434,-0.00042862822019151814
gsm8k/86,0.06629310737551819,0.0005030415854523351
gsm8k/87,0.06788268498305683,0.0020926191929909743
gsm8k/88,0.06630387303436225,0.0005138072442963937
gsm8k/89,0.0657737688487996,-1.6296941266258358e-05
gsm8k/9,0.06663394504585574,0.0008438792557898811
gsm8k/90,0.06427980621529006,-0.0015102595747757963
gsm8k/91,0.06523005241700641,-0.0005600133730594425
gsm8k/92,0.06611019886881953,0.0003201330787536705
gsm8k/93,0.06659481380670973,0.0008047480166438747
gsm8k/94,0.06765188834154356,0.0018618225514777098
gsm8k/95,0.06374505631011207,-0.0020450094799537855
gsm8k/96,0.06194706391508353,-0.0038430018749823214
gsm8k/97,0.06691571455839451,0.0011256487683286576
gsm8k/98,0.06380222587119144,-0.0019878399188744122
gsm8k/99,0.06400712604186554,-0.0017829397482003184
