backbone,eval_row,source_pair,orientation,target_sign,score_ab,score_ba,correct
Base Ouro 2.6B,13,13,chosen_minus_rejected,1.0,1.7159253358840942,-1.7159253358840942,1
Base Ouro 2.6B,315,115,rejected_minus_chosen,-1.0,-2.828123092651367,2.828123092651367,1
Base Ouro 2.6B,88,88,chosen_minus_rejected,1.0,2.7805874347686768,-2.7805874347686768,1
Base Ouro 2.6B,273,73,rejected_minus_chosen,-1.0,-2.3722753524780273,2.3722753524780273,1
Base Ouro 2.6B,166,166,chosen_minus_rejected,1.0,2.55987811088562,-2.55987811088562,1
Base Ouro 2.6B,328,128,rejected_minus_chosen,-1.0,-3.014214038848877,3.014214038848877,1
Base Ouro 2.6B,393,193,rejected_minus_chosen,-1.0,-1.7318646907806396,1.7318646907806396,1
Base Ouro 2.6B,134,134,chosen_minus_rejected,1.0,2.8825523853302,-2.8825523853302,1
Base Ouro 2.6B,306,106,rejected_minus_chosen,-1.0,4.563081741333008,-4.563081741333008,0
Base Ouro 2.6B,383,183,rejected_minus_chosen,-1.0,-0.9109565615653992,0.9109565615653992,1
Base Ouro 2.6B,319,119,rejected_minus_chosen,-1.0,-7.533980369567871,7.533980369567871,1
Base Ouro 2.6B,243,43,rejected_minus_chosen,-1.0,1.4541311264038086,-1.4541311264038086,0
Base Ouro 2.6B,54,54,chosen_minus_rejected,1.0,0.0,-0.0,0
Base Ouro 2.6B,50,50,chosen_minus_rejected,1.0,4.481254577636719,-4.481254577636719,1
Base Ouro 2.6B,174,174,chosen_minus_rejected,1.0,0.0,-0.0,0
Base Ouro 2.6B,189,189,chosen_minus_rejected,1.0,3.221147060394287,-3.221147060394287,1
Base Ouro 2.6B,397,197,rejected_minus_chosen,-1.0,-2.976162910461426,2.976162910461426,1
Base Ouro 2.6B,187,187,chosen_minus_rejected,1.0,0.0,-0.0,0
Base Ouro 2.6B,169,169,chosen_minus_rejected,1.0,0.0,-0.0,0
Base Ouro 2.6B,58,58,chosen_minus_rejected,1.0,4.109342575073242,-4.109342575073242,1
Base Ouro 2.6B,48,48,chosen_minus_rejected,1.0,2.973888397216797,-2.973888397216797,1
Base Ouro 2.6B,344,144,rejected_minus_chosen,-1.0,-2.6642050743103027,2.6642050743103027,1
Base Ouro 2.6B,235,35,rejected_minus_chosen,-1.0,-4.591989994049072,4.591989994049072,1
Base Ouro 2.6B,252,52,rejected_minus_chosen,-1.0,2.7406177520751953,-2.7406177520751953,0
Base Ouro 2.6B,21,21,chosen_minus_rejected,1.0,2.3833816051483154,-2.3833816051483154,1
Base Ouro 2.6B,313,113,rejected_minus_chosen,-1.0,-3.4279799461364746,3.4279799461364746,1
Base Ouro 2.6B,160,160,chosen_minus_rejected,1.0,2.3521041870117188,-2.3521041870117188,1
Base Ouro 2.6B,276,76,rejected_minus_chosen,-1.0,-1.358923316001892,1.358923316001892,1
Base Ouro 2.6B,191,191,chosen_minus_rejected,1.0,2.0995283126831055,-2.0995283126831055,1
Base Ouro 2.6B,293,93,rejected_minus_chosen,-1.0,-5.13381290435791,5.13381290435791,1
Base Ouro 2.6B,343,143,rejected_minus_chosen,-1.0,-2.3036956787109375,2.3036956787109375,1
Base Ouro 2.6B,257,57,rejected_minus_chosen,-1.0,-4.876810073852539,4.876810073852539,1
Base Ouro 2.6B,308,108,rejected_minus_chosen,-1.0,-4.146331787109375,4.146331787109375,1
Base Ouro 2.6B,149,149,chosen_minus_rejected,1.0,3.7973344326019287,-3.7973344326019287,1
Base Ouro 2.6B,130,130,chosen_minus_rejected,1.0,1.6398658752441406,-1.6398658752441406,1
Base Ouro 2.6B,151,151,chosen_minus_rejected,1.0,1.6252150535583496,-1.6252150535583496,1
Base Ouro 2.6B,359,159,rejected_minus_chosen,-1.0,-4.200510025024414,4.200510025024414,1
Base Ouro 2.6B,99,99,chosen_minus_rejected,1.0,4.087147235870361,-4.087147235870361,1
Base Ouro 2.6B,372,172,rejected_minus_chosen,-1.0,-3.9544644355773926,3.9544644355773926,1
Base Ouro 2.6B,87,87,chosen_minus_rejected,1.0,4.727588653564453,-4.727588653564453,1
Base Ouro 2.6B,330,130,rejected_minus_chosen,-1.0,-1.6398658752441406,1.6398658752441406,1
Base Ouro 2.6B,214,14,rejected_minus_chosen,-1.0,-7.410636901855469,7.410636901855469,1
Base Ouro 2.6B,121,121,chosen_minus_rejected,1.0,11.594503402709961,-11.594503402709961,1
Base Ouro 2.6B,399,199,rejected_minus_chosen,-1.0,-3.032158136367798,3.032158136367798,1
Base Ouro 2.6B,20,20,chosen_minus_rejected,1.0,2.298583984375,-2.298583984375,1
Base Ouro 2.6B,188,188,chosen_minus_rejected,1.0,3.8881564140319824,-3.8881564140319824,1
Base Ouro 2.6B,71,71,chosen_minus_rejected,1.0,0.0,-0.0,0
Base Ouro 2.6B,106,106,chosen_minus_rejected,1.0,-4.563081741333008,4.563081741333008,0
Base Ouro 2.6B,270,70,rejected_minus_chosen,-1.0,-2.424534797668457,2.424534797668457,1
Base Ouro 2.6B,348,148,rejected_minus_chosen,-1.0,-3.215794563293457,3.215794563293457,1
Base Ouro 2.6B,102,102,chosen_minus_rejected,1.0,2.7764334678649902,-2.7764334678649902,1
Ouro 2.6B Thinking,212,12,rejected_minus_chosen,-1.0,-5.010927200317383,5.010927200317383,1
Ouro 2.6B Thinking,295,95,rejected_minus_chosen,-1.0,-3.666226863861084,3.666226863861084,1
Ouro 2.6B Thinking,364,164,rejected_minus_chosen,-1.0,-8.075553894042969,8.075553894042969,1
Ouro 2.6B Thinking,251,51,rejected_minus_chosen,-1.0,-1.2471163272857666,1.2471163272857666,1
Ouro 2.6B Thinking,390,190,rejected_minus_chosen,-1.0,6.2604546546936035,-6.2604546546936035,0
Ouro 2.6B Thinking,365,165,rejected_minus_chosen,-1.0,-3.594280481338501,3.594280481338501,1
Ouro 2.6B Thinking,303,103,rejected_minus_chosen,-1.0,-3.7401015758514404,3.7401015758514404,1
Ouro 2.6B Thinking,269,69,rejected_minus_chosen,-1.0,-2.7244107723236084,2.7244107723236084,1
Ouro 2.6B Thinking,201,1,rejected_minus_chosen,-1.0,-2.649027109146118,2.649027109146118,1
Ouro 2.6B Thinking,161,161,chosen_minus_rejected,1.0,4.390633583068848,-4.390633583068848,1
Ouro 2.6B Thinking,43,43,chosen_minus_rejected,1.0,-1.2783185243606567,1.2783185243606567,0
Ouro 2.6B Thinking,217,17,rejected_minus_chosen,-1.0,-5.176156520843506,5.176156520843506,1
Ouro 2.6B Thinking,190,190,chosen_minus_rejected,1.0,-6.2604546546936035,6.2604546546936035,0
Ouro 2.6B Thinking,309,109,rejected_minus_chosen,-1.0,-3.5486416816711426,3.5486416816711426,1
Ouro 2.6B Thinking,259,59,rejected_minus_chosen,-1.0,-1.663922667503357,1.663922667503357,1
Ouro 2.6B Thinking,105,105,chosen_minus_rejected,1.0,2.959702968597412,-2.959702968597412,1
Ouro 2.6B Thinking,53,53,chosen_minus_rejected,1.0,3.488494873046875,-3.488494873046875,1
Ouro 2.6B Thinking,1,1,chosen_minus_rejected,1.0,2.649027109146118,-2.649027109146118,1
Ouro 2.6B Thinking,49,49,chosen_minus_rejected,1.0,2.0627527236938477,-2.0627527236938477,1
Ouro 2.6B Thinking,80,80,chosen_minus_rejected,1.0,5.315893173217773,-5.315893173217773,1
Ouro 2.6B Thinking,205,5,rejected_minus_chosen,-1.0,-4.566140174865723,4.566140174865723,1
Ouro 2.6B Thinking,34,34,chosen_minus_rejected,1.0,4.200788974761963,-4.200788974761963,1
Ouro 2.6B Thinking,263,63,rejected_minus_chosen,-1.0,-1.1072478294372559,1.1072478294372559,1
Ouro 2.6B Thinking,91,91,chosen_minus_rejected,1.0,1.885129690170288,-1.885129690170288,1
Ouro 2.6B Thinking,339,139,rejected_minus_chosen,-1.0,-6.968183994293213,6.968183994293213,1
Ouro 2.6B Thinking,52,52,chosen_minus_rejected,1.0,-1.6546399593353271,1.6546399593353271,0
Ouro 2.6B Thinking,345,145,rejected_minus_chosen,-1.0,-3.0810065269470215,3.0810065269470215,1
Ouro 2.6B Thinking,264,64,rejected_minus_chosen,-1.0,-1.000037431716919,1.000037431716919,1
Ouro 2.6B Thinking,241,41,rejected_minus_chosen,-1.0,-4.155617713928223,4.155617713928223,1
Ouro 2.6B Thinking,13,13,chosen_minus_rejected,1.0,1.7217638492584229,-1.7217638492584229,1
Ouro 2.6B Thinking,315,115,rejected_minus_chosen,-1.0,-2.978351593017578,2.978351593017578,1
Ouro 2.6B Thinking,88,88,chosen_minus_rejected,1.0,2.343808174133301,-2.343808174133301,1
Ouro 2.6B Thinking,273,73,rejected_minus_chosen,-1.0,-1.7386943101882935,1.7386943101882935,1
Ouro 2.6B Thinking,166,166,chosen_minus_rejected,1.0,2.3860740661621094,-2.3860740661621094,1
Ouro 2.6B Thinking,328,128,rejected_minus_chosen,-1.0,-2.646235227584839,2.646235227584839,1
Ouro 2.6B Thinking,393,193,rejected_minus_chosen,-1.0,-2.2117204666137695,2.2117204666137695,1
Ouro 2.6B Thinking,134,134,chosen_minus_rejected,1.0,2.9247665405273438,-2.9247665405273438,1
Ouro 2.6B Thinking,306,106,rejected_minus_chosen,-1.0,3.4242026805877686,-3.4242026805877686,0
Ouro 2.6B Thinking,383,183,rejected_minus_chosen,-1.0,-0.9766916036605835,0.9766916036605835,1
Ouro 2.6B Thinking,319,119,rejected_minus_chosen,-1.0,-8.108685493469238,8.108685493469238,1
Ouro 2.6B Thinking,243,43,rejected_minus_chosen,-1.0,1.2783185243606567,-1.2783185243606567,0
Ouro 2.6B Thinking,54,54,chosen_minus_rejected,1.0,0.0,-0.0,0
Ouro 2.6B Thinking,50,50,chosen_minus_rejected,1.0,3.9191370010375977,-3.9191370010375977,1
Ouro 2.6B Thinking,174,174,chosen_minus_rejected,1.0,0.0,-0.0,0
Ouro 2.6B Thinking,189,189,chosen_minus_rejected,1.0,3.9143435955047607,-3.9143435955047607,1
Ouro 2.6B Thinking,397,197,rejected_minus_chosen,-1.0,-4.477293014526367,4.477293014526367,1
Ouro 2.6B Thinking,187,187,chosen_minus_rejected,1.0,0.0,-0.0,0
Ouro 2.6B Thinking,169,169,chosen_minus_rejected,1.0,0.0,-0.0,0
Ouro 2.6B Thinking,58,58,chosen_minus_rejected,1.0,3.3872389793395996,-3.3872389793395996,1
Ouro 2.6B Thinking,48,48,chosen_minus_rejected,1.0,2.7456893920898438,-2.7456893920898438,1
Ouro 2.6B Thinking,344,144,rejected_minus_chosen,-1.0,-2.6441259384155273,2.6441259384155273,1
Ouro 2.6B Thinking,235,35,rejected_minus_chosen,-1.0,-4.593803405761719,4.593803405761719,1
Ouro 2.6B Thinking,252,52,rejected_minus_chosen,-1.0,1.6546399593353271,-1.6546399593353271,0
Ouro 2.6B Thinking,21,21,chosen_minus_rejected,1.0,2.8803586959838867,-2.8803586959838867,1
Ouro 2.6B Thinking,313,113,rejected_minus_chosen,-1.0,-3.6999897956848145,3.6999897956848145,1
Ouro 2.6B Thinking,160,160,chosen_minus_rejected,1.0,2.6391890048980713,-2.6391890048980713,1
Ouro 2.6B Thinking,276,76,rejected_minus_chosen,-1.0,-1.589377522468567,1.589377522468567,1
Ouro 2.6B Thinking,191,191,chosen_minus_rejected,1.0,2.2777857780456543,-2.2777857780456543,1
Ouro 2.6B Thinking,293,93,rejected_minus_chosen,-1.0,-3.964038372039795,3.964038372039795,1
Ouro 2.6B Thinking,343,143,rejected_minus_chosen,-1.0,-2.3679115772247314,2.3679115772247314,1
Ouro 2.6B Thinking,257,57,rejected_minus_chosen,-1.0,-4.269414901733398,4.269414901733398,1
Ouro 2.6B Thinking,308,108,rejected_minus_chosen,-1.0,-3.377995014190674,3.377995014190674,1
Ouro 2.6B Thinking,149,149,chosen_minus_rejected,1.0,3.599736213684082,-3.599736213684082,1
Ouro 2.6B Thinking,130,130,chosen_minus_rejected,1.0,1.1835001707077026,-1.1835001707077026,1
Ouro 2.6B Thinking,151,151,chosen_minus_rejected,1.0,1.7969410419464111,-1.7969410419464111,1
Ouro 2.6B Thinking,359,159,rejected_minus_chosen,-1.0,-4.403535842895508,4.403535842895508,1
Ouro 2.6B Thinking,99,99,chosen_minus_rejected,1.0,3.619234085083008,-3.619234085083008,1
Ouro 2.6B Thinking,372,172,rejected_minus_chosen,-1.0,-3.445539951324463,3.445539951324463,1
Ouro 2.6B Thinking,87,87,chosen_minus_rejected,1.0,4.777289390563965,-4.777289390563965,1
Ouro 2.6B Thinking,330,130,rejected_minus_chosen,-1.0,-1.1835001707077026,1.1835001707077026,1
Ouro 2.6B Thinking,214,14,rejected_minus_chosen,-1.0,-4.968842029571533,4.968842029571533,1
Ouro 2.6B Thinking,121,121,chosen_minus_rejected,1.0,10.619087219238281,-10.619087219238281,1
Ouro 2.6B Thinking,399,199,rejected_minus_chosen,-1.0,-2.9815726280212402,2.9815726280212402,1
Ouro 2.6B Thinking,20,20,chosen_minus_rejected,1.0,2.9888153076171875,-2.9888153076171875,1
Ouro 2.6B Thinking,188,188,chosen_minus_rejected,1.0,4.149906635284424,-4.149906635284424,1
Ouro 2.6B Thinking,71,71,chosen_minus_rejected,1.0,0.0,-0.0,0
Ouro 2.6B Thinking,106,106,chosen_minus_rejected,1.0,-3.4242026805877686,3.4242026805877686,0
Ouro 2.6B Thinking,270,70,rejected_minus_chosen,-1.0,-2.4578771591186523,2.4578771591186523,1
Ouro 2.6B Thinking,348,148,rejected_minus_chosen,-1.0,-3.261000633239746,3.261000633239746,1
Ouro 2.6B Thinking,102,102,chosen_minus_rejected,1.0,2.871868371963501,-2.871868371963501,1
Ouro RLTT local,212,12,rejected_minus_chosen,-1.0,-5.13233757019043,5.13233757019043,1
Ouro RLTT local,295,95,rejected_minus_chosen,-1.0,-3.5541703701019287,3.5541703701019287,1
Ouro RLTT local,364,164,rejected_minus_chosen,-1.0,-8.114683151245117,8.114683151245117,1
Ouro RLTT local,251,51,rejected_minus_chosen,-1.0,-1.3059077262878418,1.3059077262878418,1
Ouro RLTT local,390,190,rejected_minus_chosen,-1.0,6.1838483810424805,-6.1838483810424805,0
Ouro RLTT local,365,165,rejected_minus_chosen,-1.0,-3.6622915267944336,3.6622915267944336,1
Ouro RLTT local,303,103,rejected_minus_chosen,-1.0,-3.7898740768432617,3.7898740768432617,1
Ouro RLTT local,269,69,rejected_minus_chosen,-1.0,-2.7243831157684326,2.7243831157684326,1
Ouro RLTT local,201,1,rejected_minus_chosen,-1.0,-2.7317090034484863,2.7317090034484863,1
Ouro RLTT local,161,161,chosen_minus_rejected,1.0,4.237180709838867,-4.237180709838867,1
Ouro RLTT local,43,43,chosen_minus_rejected,1.0,-1.542203664779663,1.542203664779663,0
Ouro RLTT local,217,17,rejected_minus_chosen,-1.0,-5.333713531494141,5.333713531494141,1
Ouro RLTT local,190,190,chosen_minus_rejected,1.0,-6.1838483810424805,6.1838483810424805,0
Ouro RLTT local,309,109,rejected_minus_chosen,-1.0,-3.5542263984680176,3.5542263984680176,1
Ouro RLTT local,259,59,rejected_minus_chosen,-1.0,-1.7237019538879395,1.7237019538879395,1
Ouro RLTT local,105,105,chosen_minus_rejected,1.0,3.001091957092285,-3.001091957092285,1
Ouro RLTT local,53,53,chosen_minus_rejected,1.0,3.5912654399871826,-3.5912654399871826,1
Ouro RLTT local,1,1,chosen_minus_rejected,1.0,2.7317090034484863,-2.7317090034484863,1
Ouro RLTT local,49,49,chosen_minus_rejected,1.0,2.0536136627197266,-2.0536136627197266,1
Ouro RLTT local,80,80,chosen_minus_rejected,1.0,5.246918201446533,-5.246918201446533,1
Ouro RLTT local,205,5,rejected_minus_chosen,-1.0,-4.517541885375977,4.517541885375977,1
Ouro RLTT local,34,34,chosen_minus_rejected,1.0,4.356942653656006,-4.356942653656006,1
Ouro RLTT local,263,63,rejected_minus_chosen,-1.0,-1.0883965492248535,1.0883965492248535,1
Ouro RLTT local,91,91,chosen_minus_rejected,1.0,1.839496374130249,-1.839496374130249,1
Ouro RLTT local,339,139,rejected_minus_chosen,-1.0,-7.016716480255127,7.016716480255127,1
Ouro RLTT local,52,52,chosen_minus_rejected,1.0,-1.705130934715271,1.705130934715271,0
Ouro RLTT local,345,145,rejected_minus_chosen,-1.0,-3.070042610168457,3.070042610168457,1
Ouro RLTT local,264,64,rejected_minus_chosen,-1.0,-1.0257576704025269,1.0257576704025269,1
Ouro RLTT local,241,41,rejected_minus_chosen,-1.0,-4.204760551452637,4.204760551452637,1
Ouro RLTT local,13,13,chosen_minus_rejected,1.0,1.7522892951965332,-1.7522892951965332,1
Ouro RLTT local,315,115,rejected_minus_chosen,-1.0,-2.990056037902832,2.990056037902832,1
Ouro RLTT local,88,88,chosen_minus_rejected,1.0,2.354733467102051,-2.354733467102051,1
Ouro RLTT local,273,73,rejected_minus_chosen,-1.0,-1.707704782485962,1.707704782485962,1
Ouro RLTT local,166,166,chosen_minus_rejected,1.0,2.467047929763794,-2.467047929763794,1
Ouro RLTT local,328,128,rejected_minus_chosen,-1.0,-2.7013559341430664,2.7013559341430664,1
Ouro RLTT local,393,193,rejected_minus_chosen,-1.0,-2.2472288608551025,2.2472288608551025,1
Ouro RLTT local,134,134,chosen_minus_rejected,1.0,2.9667959213256836,-2.9667959213256836,1
Ouro RLTT local,306,106,rejected_minus_chosen,-1.0,3.694157361984253,-3.694157361984253,0
Ouro RLTT local,383,183,rejected_minus_chosen,-1.0,-0.9888362884521484,0.9888362884521484,1
Ouro RLTT local,319,119,rejected_minus_chosen,-1.0,-8.085943222045898,8.085943222045898,1
Ouro RLTT local,243,43,rejected_minus_chosen,-1.0,1.542203664779663,-1.542203664779663,0
Ouro RLTT local,54,54,chosen_minus_rejected,1.0,0.0,-0.0,0
Ouro RLTT local,50,50,chosen_minus_rejected,1.0,3.7856390476226807,-3.7856390476226807,1
Ouro RLTT local,174,174,chosen_minus_rejected,1.0,0.0,-0.0,0
Ouro RLTT local,189,189,chosen_minus_rejected,1.0,3.7741732597351074,-3.7741732597351074,1
Ouro RLTT local,397,197,rejected_minus_chosen,-1.0,-4.607507228851318,4.607507228851318,1
Ouro RLTT local,187,187,chosen_minus_rejected,1.0,0.0,-0.0,0
Ouro RLTT local,169,169,chosen_minus_rejected,1.0,0.0,-0.0,0
Ouro RLTT local,58,58,chosen_minus_rejected,1.0,3.276022434234619,-3.276022434234619,1
Ouro RLTT local,48,48,chosen_minus_rejected,1.0,2.7272939682006836,-2.7272939682006836,1
Ouro RLTT local,344,144,rejected_minus_chosen,-1.0,-2.6787099838256836,2.6787099838256836,1
Ouro RLTT local,235,35,rejected_minus_chosen,-1.0,-4.577505111694336,4.577505111694336,1
Ouro RLTT local,252,52,rejected_minus_chosen,-1.0,1.705130934715271,-1.705130934715271,0
Ouro RLTT local,21,21,chosen_minus_rejected,1.0,2.930833339691162,-2.930833339691162,1
Ouro RLTT local,313,113,rejected_minus_chosen,-1.0,-3.965719223022461,3.965719223022461,1
Ouro RLTT local,160,160,chosen_minus_rejected,1.0,2.6715049743652344,-2.6715049743652344,1
Ouro RLTT local,276,76,rejected_minus_chosen,-1.0,-1.621058702468872,1.621058702468872,1
Ouro RLTT local,191,191,chosen_minus_rejected,1.0,2.34024715423584,-2.34024715423584,1
Ouro RLTT local,293,93,rejected_minus_chosen,-1.0,-3.849198341369629,3.849198341369629,1
Ouro RLTT local,343,143,rejected_minus_chosen,-1.0,-2.452169895172119,2.452169895172119,1
Ouro RLTT local,257,57,rejected_minus_chosen,-1.0,-4.358334541320801,4.358334541320801,1
Ouro RLTT local,308,108,rejected_minus_chosen,-1.0,-3.4612395763397217,3.4612395763397217,1
Ouro RLTT local,149,149,chosen_minus_rejected,1.0,3.645589590072632,-3.645589590072632,1
Ouro RLTT local,130,130,chosen_minus_rejected,1.0,1.219307541847229,-1.219307541847229,1
Ouro RLTT local,151,151,chosen_minus_rejected,1.0,1.7538940906524658,-1.7538940906524658,1
Ouro RLTT local,359,159,rejected_minus_chosen,-1.0,-4.438754558563232,4.438754558563232,1
Ouro RLTT local,99,99,chosen_minus_rejected,1.0,3.3189949989318848,-3.3189949989318848,1
Ouro RLTT local,372,172,rejected_minus_chosen,-1.0,-3.4370765686035156,3.4370765686035156,1
Ouro RLTT local,87,87,chosen_minus_rejected,1.0,4.817356109619141,-4.817356109619141,1
Ouro RLTT local,330,130,rejected_minus_chosen,-1.0,-1.219307541847229,1.219307541847229,1
Ouro RLTT local,214,14,rejected_minus_chosen,-1.0,-5.040707588195801,5.040707588195801,1
Ouro RLTT local,121,121,chosen_minus_rejected,1.0,10.9403715133667,-10.9403715133667,1
Ouro RLTT local,399,199,rejected_minus_chosen,-1.0,-3.033222198486328,3.033222198486328,1
Ouro RLTT local,20,20,chosen_minus_rejected,1.0,3.101789951324463,-3.101789951324463,1
Ouro RLTT local,188,188,chosen_minus_rejected,1.0,4.070591449737549,-4.070591449737549,1
Ouro RLTT local,71,71,chosen_minus_rejected,1.0,0.0,-0.0,0
Ouro RLTT local,106,106,chosen_minus_rejected,1.0,-3.694157361984253,3.694157361984253,0
Ouro RLTT local,270,70,rejected_minus_chosen,-1.0,-2.42975115776062,2.42975115776062,1
Ouro RLTT local,348,148,rejected_minus_chosen,-1.0,-3.348818778991699,3.348818778991699,1
Ouro RLTT local,102,102,chosen_minus_rejected,1.0,2.8876750469207764,-2.8876750469207764,1
